地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
辽宁,东部,6,2007,328.02,7141.43,16544,4565.4,95196.709,89.984,,1.14228474,1.431063678
吉林,中部,7,2007,109.33,2832.54,6557,1255.1,39666.334,39.853,,1.278327087,1.524558496
黑龙江,中部,8,2007,142.94,3551.23,9377,3254.1,38388.299,55.052,,1.027511213,1.678345572
上海,东部,9,2007,282.12,7125.62,9670,5357.9,47569.531,4.876,,1.100287362,1.668285053
江苏,东部,10,2007,861.05,14679.11,20948,13137.9,268761.995,60.994,,1.072257042,1.371215313
浙江,东部,11,2007,790.93,9938.34,14524,9094,201210.552,37.512,,1.115730175,1.113838192
安徽,中部,12,2007,178.21,3611.64,7739,2604.9,73555.553,56.163,,1.126111784,1.715848089
福建,东部,13,2007,359.16,3837.44,7587,3956.4,136407.773,26.842,,1.087947182,1.201760824
江西,中部,14,2007,140.73,2116.68,5053,2435.5,71410.313,50.918,,1.075499691,2.260894405
山东,东部,15,2007,830.48,14643.55,29177,11233.1,166573.554,64.54,,1.047524618,1.235761917
河南,中部,16,2007,382.23,6605.55,17838,7067.2,134344.317,105.203,,1.126952956,1.766200654
湖北,中部,17,2007,200.35,6237.91,12143,3597.4,91001.129,48.579,,1.098619326,1.562544369
湖南,中部,18,2007,195.47,3319.17,11629,3260.6,100112.705,103.143,,1.111585198,1.496470667
广东,东部,19,2007,1307.4,13644.02,22217,14990.8,246331.036,50.241,,1.103536188,1.461402123
广西,西部,20,2007,99.52,2340.5,5997,1762.1,183980.858,73.173,,1.076220183,1.535915919
海南,东部,21,2007,12.33,554.26,1057,268.4,5960.123,2.003,,1.172226091,2.023179127
重庆,西部,22,2007,108.27,1851.44,5947,1862.3,69002.828,29.82,,1.02198587,1.574301049
四川,西部,23,2007,257.46,5065.56,14214,3896.5,114687.188,52.488,,1.101390584,1.795273961
