省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
42,湖北省,2016,5885,3419.18,2465.82
42,湖北省,2017,5904,3499.89,2402.11
42,湖北省,2018,5917,3567.95,2349.05
42,湖北省,2019,5927,3615,2312
42,湖北省,2020,5744.83,3612.92,2131.91
42,湖北省,2021,5830,3736,2094
42,湖北省,2022,5844,3779,2065
42,湖北省,2023,5838,3822,2016
42,湖北省,2024,5834,3871,1963
43,湖南省,2000,6562,,
43,湖南省,2001,6595.85,,
43,湖南省,2002,6629,,
43,湖南省,2003,6663,,
43,湖南省,2004,6698,,
43,湖南省,2005,6326,2340.62,3985.38
43,湖南省,2006,6342,2454.99,3887.01
43,湖南省,2007,6355,2570.6,3784.4
43,湖南省,2008,6380,2689.17,3690.83
43,湖南省,2009,6406,2767.39,3638.61
43,湖南省,2010,6570.1,2844.85,3725.25
43,湖南省,2011,6581,2974.62,3620.98
43,湖南省,2012,6590,3097.06,3541.87
43,湖南省,2013,6600,3208.81,3481.79
43,湖南省,2014,6611,3320.11,3417.13
43,湖南省,2015,6615,3451.88,3331.15
43,湖南省,2016,6625,3598.61,3223.39
43,湖南省,2017,6633,3747.01,3113.14
43,湖南省,2018,6635,3864.82,3034.18
43,湖南省,2019,6640,3959,2959
43,湖南省,2020,6645.3,3904.78,2740.52
43,湖南省,2021,6622,3954,2668
43,湖南省,2022,6604,3983,2621
43,湖南省,2023,6568,4017,2551
43,湖南省,2024,6539,4059,2480
44,广东省,2000,8650,,
44,广东省,2001,8733.18,,
44,广东省,2002,8842.08,,
44,广东省,2003,8962.69,,
44,广东省,2004,9110.66,,
44,广东省,2005,9194,5578.92,3615.08
44,广东省,2006,9442.07,5948.5,3493.57
44,广东省,2007,9659.52,6099.02,3560.5
44,广东省,2008,9893.48,6269.5,3623.98
44,广东省,2009,10130.19,6422.54,3707.65
44,广东省,2010,10440.94,6909.81,3531.13
44,广东省,2011,10756,6985.82,3519.18
44,广东省,2012,11041,7140.36,3453.64
44,广东省,2013,11270,7212.37,3431.63
44,广东省,2014,11489,7292.32,3431.68
44,广东省,2015,11678,7454.35,3394.65
44,广东省,2016,11908,7611.31,3387.69
44,广东省,2017,12141,7801.55,3367.45
44,广东省,2018,12348,8021.62,3324.38
44,广东省,2019,12489,8226,3295
44,广东省,2020,12623.61,9360.41,3263.2
44,广东省,2021,12684,9466,3218
44,广东省,2022,12657,9465,3192
44,广东省,2023,12706,9583,3123
44,广东省,2024,12780,9701,3079
45,广西壮族自治区,2000,4751,,
45,广西壮族自治区,2001,4788,,
45,广西壮族自治区,2002,4822,,
45,广西壮族自治区,2003,4857,,
45,广西壮族自治区,2004,4889,,
45,广西壮族自治区,2005,4660,1566.69,3093.31
45,广西壮族自治区,2006,4719,1634.66,3084.34
45,广西壮族自治区,2007,4768,1727.92,3040.08
45,广西壮族自治区,2008,4816,1837.79,2978.21
45,广西壮族自治区,2009,4856,1903.55,2952.45
45,广西壮族自治区,2010,4610,1844,2766
45,广西壮族自治区,2011,4655,1941.61,2703.39
45,广西壮族自治区,2012,4694,2038.07,2643.93
45,广西壮族自治区,2013,4731,2114.58,2604.42
45,广西壮族自治区,2014,4770,2187.32,2566.68
45,广西壮族自治区,2015,4811,2257,2539
45,广西壮族自治区,2016,4857,2326.11,2511.89
45,广西壮族自治区,2017,4907,2403.91,2481.09
45,广西壮族自治区,2018,4947,2473.84,2452.16
45,广西壮族自治区,2019,4982,2534,2426
45,广西壮族自治区,2020,5018.72,2720.15,2298.57
45,广西壮族自治区,2021,5037,2774,2263
45,广西壮族自治区,2022,5047,2809,2238
45,广西壮族自治区,2023,5027,2854,2173
45,广西壮族自治区,2024,5013,2877,2136
46,海南省,2000,789,,
46,海南省,2001,795.55,,
46,海南省,2002,803,,
46,海南省,2003,811,,
46,海南省,2004,818,,
46,海南省,2005,828,374.26,453.74
46,海南省,2006,835.88,385.34,450.54
46,海南省,2007,845.03,398.85,446.18
46,海南省,2008,854.18,410.01,444.17
46,海南省,2009,864.07,424.52,439.55
46,海南省,2010,868.55,432.54,436.01
46,海南省,2011,890,443.08,434.3
46,海南省,2012,910,457.46,429.09
46,海南省,2013,920,472.17,423.11
46,海南省,2014,936,485.71,417.77
46,海南省,2015,945,502.04,408.78
46,海南省,2016,957,520.67,396.33
46,海南省,2017,972,537.45,388.55
46,海南省,2018,982,551.62,382.38
46,海南省,2019,995,560,385
46,海南省,2020,1011.66,609.73,401.93
46,海南省,2021,1020,622,398
46,海南省,2022,1027,631,396
46,海南省,2023,1043,651,392
46,海南省,2024,1048,661.28,387.04
50,重庆市,2000,2849,,
50,重庆市,2001,2829.21,,
50,重庆市,2002,2814.43,,
50,重庆市,2003,2803.19,,
50,重庆市,2004,2793.32,,
50,重庆市,2005,2798,1264.7,1533.3
50,重庆市,2006,2808,1311.34,1496.66
50,重庆市,2007,2816,1360.13,1455.87
50,重庆市,2008,2839,1419.22,1419.78
50,重庆市,2009,2859,1474.96,1384.04
50,重庆市,2010,2884.62,1529.43,1355.19
50,重庆市,2011,2944,1606.03,1312.97
50,重庆市,2012,2975,1678.06,1266.94
50,重庆市,2013,3011,1732.7,1237.3
50,重庆市,2014,3043,1782.87,1208.53
50,重庆市,2015,3070,1838.29,1178.26
50,重庆市,2016,3110,1908.05,1139.95
50,重庆市,2017,3144,1970.56,1104.6
50,重庆市,2018,3163,2031.81,1070.19
50,重庆市,2019,3188,2087,1037
50,重庆市,2020,3208.91,2228.91,980
50,重庆市,2021,3212,2259,953
50,重庆市,2022,3213,2280,933
50,重庆市,2023,3191,2287,904
50,重庆市,2024,3190,2301.49,888.98
51,四川省,2000,8329,,
51,四川省,2001,8143,,
51,四川省,2002,8110,,
51,四川省,2003,8176,,
51,四川省,2004,8090,,
51,四川省,2005,8212,2709.96,5502.04
51,四川省,2006,8169,2801.97,5367.03
51,四川省,2007,8127,2893.21,5233.79
51,四川省,2008,8138,3043.61,5094.39
51,四川省,2009,8185,3167.59,5017.4
51,四川省,2010,8044.92,3232.45,4812.47
51,四川省,2011,8064,3367.32,4682.69
51,四川省,2012,8085,3515.57,4560.63
51,四川省,2013,8109,3640.04,4466.96
51,四川省,2014,8139,3768.91,4371.29
51,四川省,2015,8196,3912.49,4291.51
51,四川省,2016,8251,4065.73,4196.27
51,四川省,2017,8289,4216.59,4085.41
51,四川省,2018,8321,4361.51,3979.49
51,四川省,2019,8351,4505,3870
51,四川省,2020,8370.7,4748.7,3622
51,四川省,2021,8372,4841,3531
51,四川省,2022,8374,4886,3488
51,四川省,2023,8368,4978,3390
51,四川省,2024,8364,5026.8,3337.2
52,贵州省,2000,3756,,
52,贵州省,2001,3798.51,,
52,贵州省,2002,3837,,
52,贵州省,2003,3870,,
52,贵州省,2004,3904,,
52,贵州省,2005,3730,1002.25,2727.75
52,贵州省,2006,3690,1013.27,2676.73
52,贵州省,2007,3631.98,1025.67,2606.31
52,贵州省,2008,3595.98,1046.79,2549.19
52,贵州省,2009,3537,1057.21,2479.79
52,贵州省,2010,3479,1176.25,2302.75
52,贵州省,2011,3530,1212.76,2256.24
52,贵州省,2012,3587,1268.55,2215.52
52,贵州省,2013,3632,1324.89,2177.33
52,贵州省,2014,3677,1403.57,2104.47
52,贵州省,2015,3708,1482.74,2046.76
52,贵州省,2016,3758,1569.53,1985.47
52,贵州省,2017,3803,1647.52,1932.48
52,贵州省,2018,3822,1710.72,1889.28
52,贵州省,2019,3848,1776,1847
52,贵州省,2020,3857.86,2050.45,1807.41
52,贵州省,2021,3852,2093,1759
52,贵州省,2022,3856,2114,1742
52,贵州省,2023,3865,2162,1703
52,贵州省,2024,3860,2187,1673
53,云南省,2000,4241,,
53,云南省,2001,4287.4,,
53,云南省,2002,4333,,
53,云南省,2003,4376,,
53,云南省,2004,4415,,
53,云南省,2005,4450.4,1312.87,3137.53
53,云南省,2006,4483,1367.32,3115.68
53,云南省,2007,4514,1426.42,3087.58
53,云南省,2008,4543,1499.19,3043.81
53,云南省,2009,4571,1554.14,3016.86
53,云南省,2010,4601.6,1596.76,3004.84
53,云南省,2011,4620,1704.21,2926.79
53,云南省,2012,4631,1831.45,2827.55
