uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg
3618,17,Jiangxi,2018,225504240,23016.9,10081.2,1359,2601,.045000002,.13,.072999999,.050999999,.064000003,.057999998,1.323,.185,1,10.043984,19.233849,-.16086756,.12614971,1.0692729,.88677877,-.38653475,.36995912,.63130224,.77669269,-.49109304,.89102328,-.232447,-.34769684,.43738678,4513,2603.8101,.5769577,162.55,.028680973,0,-3,0,0,0,0,0,0,0,0,.4379912
3619,17,Jiangxi,2019,226600832,24724,10385.3,1396,3015,.046,.14399999,.078000002,.061000001,.072999999,.061999999,1.043,.33199999,1,10.11553,19.238701,-.1518691,.22585267,1.1917386,1.4744666,-.37631258,.67313087,1.3568766,1.1430062,-.53619206,1.3770922,-.23831223,-.29501906,.42084363,4516,2679,.59322411,194.28329,.030419495,0,-2,1,0,0,0,0,0,0,0,.42004934
3620,17,Jiangxi,2020,232524000,25825.4,10631.7,1921,3636,.045000002,.131,.078000002,.052999999,.068000004,.059999999,1.173,.15099999,1,10.159114,19.264503,-.024188401,.37540707,1.0692729,.92875659,-.37631258,.43059346,.95377994,.95984948,-.51525319,1.0015119,-.082461953,-.30712813,.40168223,4519.4502,2731.55,.60439879,218.2654,.032703448,0,-1,0,0,0,0,0,0,0,0,.41167611
3621,17,Jiangxi,2021,252422352,29838.199,12559.3,1830,2844,.046999998,.141,.068000004,.050000001,.072999999,.061999999,.94400001,.226,1,10.303545,19.346615,-.046319723,.18467101,1.3142043,1.3485339,-.39675689,.33964199,1.3568766,1.1430062,-.55213773,1.3814739,-.31475168,-.29058957,.37637672,4517,2776,.61456722,229.5946,.033869144,0,0,0,1,0,0,0,0,0,0,.42091346
3622,17,Jiangxi,2022,262287920,31568.1,12832.9,2272,2172,.046999998,.138,.068000004,.050000001,.072999999,.061999999,.86199999,.21699999,1,10.359902,19.384953,.061175272,.022834349,1.3142043,1.2226005,-.39675689,.33964199,1.3568766,1.1430062,-.56534535,1.3510219,-.33015925,-.30622068,.36414936,4528,2811,.62080389,237.63361,.032601383,0,1,0,0,1,0,0,0,0,0,.40651482
3623,17,Jiangxi,2023,273116320,32677.1,13115.7,2869,2356,.048,.134,.068999998,.050000001,.071999997,.061999999,.84799999,.206,1,10.39443,19.425407,.20636648,.067146771,1.4366705,1.0546899,-.39471248,.33964199,1.276257,1.1430062,-.56760025,1.29397,-.23232949,-.29721302,,4515,2850,.63122922,249.37,.033280928,0,2,0,0,0,1,0,0,0,0,.40137285
1300,18,Hebei,2000,253490016,4663.7002,2146.7,43,105,.022,.066,.090999998,.016000001,.035999998,.033,4.698,.26199999,0,8.4475641,19.350836,-.48092052,-.47495788,-1.7474444,-1.7997941,-.34973499,-.69114184,-1.6260417,-1.5127664,.052511163,-1.7998117,-.11810109,-.51473939,,6674,,,,,0,-21,0,0,0,0,0,0,0,0,.46029973
1301,18,Hebei,2001,271754656,5107.7998,2293.5,46,110,.024,.071000002,.086000003,.02,.035999998,.032000002,4.1989999,.233,0,8.5385237,19.42041,-.48019093,-.47375375,-1.5025125,-1.5899054,-.35995713,-.56987321,-1.6260417,-1.6043446,-.027861735,-1.7052408,-.11549536,-.5518927,,6699.1299,,,,,0,-20,0,0,0,0,0,0,0,0,.44901916
1302,18,Hebei,2002,308619328,5574.8999,2467.7,63,152,.025,.078000002,.127,.017000001,.041999999,.034000002,4.3400002,.333,0,8.62603,19.547619,-.47605649,-.46363896,-1.3800464,-1.2960615,-.2761355,-.66082466,-1.1423252,-1.4211878,-.0051511158,-1.3851935,-.22077468,-.43629542,,6735,,,,,0,-19,0,0,0,0,0,0,0,0,.44264472
1303,18,Hebei,2003,346976448,6406.6001,2922.7,76,125,.028000001,.079000004,.090000004,.021,.039999999,.035,3.6099999,.285,0,8.7650843,19.664768,-.47289488,-.47014132,-1.0126485,-1.2540838,-.35177943,-.53955603,-1.303564,-1.3296096,-.12273073,-1.3043252,-.22499777,-.53034061,.73376977,6769,,,,,0,-18,0,0,0,0,0,0,0,0,.4562014
