year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
2018,新疆,12199.08,5012.4518,94.33,0.018819134
2019,北京,35371.28,7408.1876,308.8057,0.041684379
2019,天津,14104.28,3555.7052,242.2857,0.068139985
2019,河北,35104.52,8309.0391,502.4972,0.06047597
2019,山西,17026.68,4710.7629,226.1475,0.048006555
2019,内蒙古,17212.53,5100.9101,154.4824,0.030285262
2019,辽宁,24909.45,5745.0884,129.7274,0.022580575
2019,吉林,11726.82,3933.4231,147.9673,0.037617947
2019,黑龙江,13612.68,5011.5589,211.0589,0.042114421
2019,上海,38155.32,8179.284,184.0737,0.022504867
2019,江苏,99631.52,12573.5537,372.7726,0.029647354
2019,浙江,62351.74,10053.0335,269.5485,0.026812653
2019,安徽,37113.98,7392.2226,312.115,0.042222078
2019,福建,42395,5077.9329,179.5465,0.035358187
2019,江西,24757.5,6386.8022,194.2833,0.030419495
2019,山东,71067.53,10739.756,306.4956,0.028538414
2019,河南,54259.2,10163.9304,352.2869,0.034660499
2019,湖北,45828.31,7970.207,282.1321,0.03539834
2019,湖南,39752.12,8034.4155,242.6823,0.030205346
2019,广东,107671.07,17297.8532,747.4388,0.043209917
2019,广西,21237.14,5850.9609,99.8405,0.017063949
2019,海南,5308.93,1858.597,64.9827,0.034963308
2019,重庆,23605.77,4847.6795,172.9521,0.035677297
2019,四川,46615.82,10348.1712,267.0062,0.02580226
2019,贵州,16769.34,5948.7444,188.53,0.031692402
2019,云南,23223.75,6770.0881,205.1577,0.03030355
2019,西藏,1697.82,2187.7492,40.9062,0.018697847
2019,陕西,25793.17,5718.5163,245.4839,0.042927901
2019,甘肃,8718.3,3951.5991,106.516,0.026955164
2019,青海,2965.95,1863.6676,69.3826,0.037229064
2019,宁夏,3748.48,1438.2916,54.0388,0.037571519
2019,新疆,13597.11,5315.49,87.8639,0.016529784
2020,北京,36102.55,7116.1764,236.9031,0.033290785
2020,天津,14083.73,3151.3505,60.7182,0.019267359
2020,河北,36206.89,9022.7941,509.2682,0.056442405
2020,山西,17651.93,5110.8746,260.2773,0.050926176
2020,内蒙古,17359.82,5270.1616,149.3671,0.028342034
2020,辽宁,25114.96,6014.1675,97.9393,0.016284764
2020,吉林,12311.32,4127.1714,131.5335,0.031870133
2020,黑龙江,13698.5,5449.411,220.2687,0.040420644
2020,上海,38700.58,8102.112,181.8848,0.02244906
2020,江苏,102718.98,13681.5522,336.9007,0.02462445
2020,浙江,64613.34,10082.008,220.5855,0.021879124
2020,安徽,38680.63,7473.5925,190.8277,0.025533597
2020,福建,43903.89,5216.0979,156.4246,0.029988816
2020,江西,25691.5,6674.0791,218.2654,0.032703448
2020,山东,73129,11233.5163,291.5357,0.02595231
2020,河南,54997.07,10372.6749,272.628,0.026283288
2020,湖北,43443.46,8442.8818,219.1782,0.025960117
2020,湖南,41781.49,8403.1337,245.579,0.029224693
2020,广东,110760.94,17430.7853,517.7555,0.02970351
2020,广西,22156.69,6179.4664,100.7442,0.016303058
2020,海南,5532.39,1972.4636,57.8371,0.029322265
2020,重庆,25002.79,4893.9461,179.7129,0.036721471
2020,四川,48598.76,11198.5355,264.0163,0.023575967
2020,贵州,17826.56,5739.4958,146.1511,0.025464101
2020,云南,24521.9,6974.0176,163.9681,0.023511283
2020,西藏,1902.74,2210.9192,48.9349,0.022133283
2020,陕西,26181.86,5930.3198,190.3374,0.032095638
2020,甘肃,9016.7,4163.399,114.025,0.027387478
2020,青海,3005.92,1932.8396,73.5086,0.038031402
2020,宁夏,3920.55,1480.3577,49.478,0.033423003
2020,新疆,13797.58,5533.1576,82.5899,0.01492636
2021,北京,40269.55,7205.1201,249.2374,0.034591707
2021,天津,15695.0458,3152.5478,47.135,0.014951399
2021,河北,40391.27,8848.2078,351.6498,0.039742489
2021,山西,22590.1608,5046.6207,214.7856,0.042560282
2021,内蒙古,20514.1947,5239.5652,143.8673,0.02745787
2021,辽宁,27584.075,5879.2118,80.3924,0.01367401
2021,吉林,13235.5152,3696.8416,112.2708,0.030369383
2021,黑龙江,14879.19,5104.8145,140.5411,0.027531089
2021,上海,43214.85,8430.8562,159.301,0.018894997
2021,江苏,116364.2,14585.2591,336.7963,0.023091554
2021,浙江,73515.7577,11014.5878,203.5597,0.018480919
2021,安徽,42959.1753,7591.0502,199.4541,0.026274902
2021,福建,48810.3558,5204.7168,139.966,0.026892145
2021,江西,29619.673,6778.872,229.5946,0.033869145
2021,山东,83095.9,11713.1607,266.7867,0.022776662
2021,河南,58887.4053,9784.2947,210.4065,0.021504514
2021,湖北,50012.9369,7933.6739,167.1023,0.021062411
2021,湖南,46063.0863,8325.501,194.6204,0.023376419
2021,广东,124369.6716,18247.0084,493.5502,0.02704828
2021,广西,24740.86,5806.542,83.4964,0.014379712
2021,海南,6475.2,1971.3662,50.5462,0.025640188
2021,重庆,27894.02,4835.0551,163.7451,0.033866232
2021,四川,53850.79,11215.6881,218.5494,0.019486045
2021,贵州,19586.4224,5590.008,158.7386,0.028396847
2021,云南,27146.7644,6634.3622,136.1013,0.020514602
2021,西藏,2080.1728,2027.012,27.4494,0.013541804
2021,陕西,29800.97929,6069.22,176.2496,0.02903991
2021,甘肃,10243.3051,4032.5582,82.099,0.020359037
2021,青海,3346.6341,1854.5235,72.1726,0.038917059
2021,宁夏,4522.3088,1427.8927,47.7084,0.033411754
2021,新疆,15983.6469,5376.9051,93.4783,0.01738515
2022,北京,41610.9,7469.1547,222.897,0.029842333
2022,天津,16311.3,2729.8298,29.0568,0.01064418
2022,河北,42370.4,9305.6424,318.6318,0.03424071
2022,山西,25642.6,5876.4956,241.1817,0.041041756
2022,内蒙古,23158.6,5887.6967,141.5623,0.024043749
2022,辽宁,28975.1,6261.4294,75.2066,0.012011091
2022,吉林,13070.2,4044.0093,106.0688,0.026228624
2022,黑龙江,15901,5451.9886,159.1477,0.029190762
2022,上海,44652.8,9393.1579,203.8126,0.021697985
2022,江苏,122875.6,14901.3694,279.2016,0.01873664
2022,浙江,77715.4,12017.7842,223.155,0.018568731
2022,安徽,45045,8379.784,200.6851,0.02394872
2022,福建,53109.9,5691.2173,122.6221,0.021545847
2022,江西,32074.7,7289.0652,237.6336,0.032601382
2022,山东,87435.1,12128.634,218.095,0.017981827
2022,河南,61345.1,10646.7497,183.1855,0.017205768
2022,湖北,53734.9,8623.8734,169.2226,0.019622575
2022,湖南,48670.4,8991.6135,166.5518,0.018523016
2022,广东,129118.6,18533.08,464.887,0.025084174
2022,广西,26300.9,5893.3203,90.8143,0.0154097
2022,海南,6818.2,2097.3669,50.7301,0.024187518
2022,重庆,29129,4892.7688,175.982,0.035967774
2022,四川,56749.8,11914.6585,237.5849,0.019940555
2022,贵州,20164.6,5851.3568,117.9962,0.020165614
2022,云南,28954.2,6699.7942,146.9509,0.021933644
2022,西藏,2132.6,2592.9751,39.1943,0.015115571
2022,陕西,32772.7,6760.9759,232.0137,0.034316599
2022,甘肃,11201.6,4257.157,113.2117,0.026593264
2022,青海,3610.1,1975.098,85.3604,0.043218311
